
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000002384185791, L(p,q) = 0.7999999523162842
t = 7.3000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000022053718567
ROOT RETURN:	t = 7.3138 g[0] =  -1, y[0] = -0.658677, y[1] = 0.798615
t = 7.3138, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000022053718567
t = 7.4000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000022649765015
t = 7.5000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000023245811462
t = 7.6000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000022053718567
t = 7.7000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000022649765015
t = 7.8000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000023841857910
t = 7.9000, H(p,q)-H0 = -0.0000024437904358, L(p,q)-L0 = -0.0000025033950806
t = 8.0000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000026226043701
t = 8.1000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000026226043701
t = 8.2000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000026822090149
t = 8.3000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000026822090149
t = 8.4000, H(p,q)-H0 = -0.0000024437904358, L(p,q)-L0 = -0.0000026226043701
t = 8.5000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000026226043701
t = 8.6000, H(p,q)-H0 = -0.0000023245811462, L(p,q)-L0 = -0.0000026822090149
t = 8.7000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000025629997253
t = 8.8000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000026226043701
t = 8.9000, H(p,q)-H0 = -0.0000023245811462, L(p,q)-L0 = -0.0000025033950806
t = 9.0000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000023245811462
t = 9.1000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000023245811462
t = 9.2000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000019669532776
t = 9.3000, H(p,q)-H0 = -0.0000020861625671, L(p,q)-L0 = -0.0000019669532776
t = 9.4000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000020861625671
t = 9.5000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000020265579224
t = 9.6000, H(p,q)-H0 = -0.0000022053718567, L(p,q)-L0 = -0.0000021457672119
t = 9.7000, H(p,q)-H0 = -0.0000020265579224, L(p,q)-L0 = -0.0000019073486328
t = 9.8000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000016689300537
t = 9.9000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000022649765015
t = 10.0000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000020861625671
t = 10.1000, H(p,q)-H0 = -0.0000020861625671, L(p,q)-L0 = -0.0000019669532776
t = 10.2000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000021457672119
t = 10.3000, H(p,q)-H0 = -0.0000024437904358, L(p,q)-L0 = -0.0000023245811462
t = 10.4000, H(p,q)-H0 = -0.0000026226043701, L(p,q)-L0 = -0.0000025629997253
t = 10.5000, H(p,q)-H0 = -0.0000026822090149, L(p,q)-L0 = -0.0000026226043701
t = 10.6000, H(p,q)-H0 = -0.0000027418136597, L(p,q)-L0 = -0.0000028610229492
t = 10.7000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000026226043701
t = 10.8000, H(p,q)-H0 = -0.0000025629997253, L(p,q)-L0 = -0.0000025033950806
t = 10.9000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000025033950806
t = 11.0000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000023841857910
t = 11.1000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000023841857910
t = 11.2000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000024437904358
t = 11.3000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000024437904358
t = 11.4000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000023245811462
t = 11.5000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000024437904358
t = 11.6000, H(p,q)-H0 = -0.0000023245811462, L(p,q)-L0 = -0.0000023245811462
t = 11.7000, H(p,q)-H0 = -0.0000025629997253, L(p,q)-L0 = -0.0000023841857910
t = 11.8000, H(p,q)-H0 = -0.0000027418136597, L(p,q)-L0 = -0.0000025033950806
t = 11.9000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000026822090149
t = 12.0000, H(p,q)-H0 = -0.0000038146972656, L(p,q)-L0 = -0.0000031590461731
t = 12.1000, H(p,q)-H0 = -0.0000034570693970, L(p,q)-L0 = -0.0000028014183044
t = 12.2000, H(p,q)-H0 = -0.0000028610229492, L(p,q)-L0 = -0.0000026226043701
t = 12.3000, H(p,q)-H0 = -0.0000027418136597, L(p,q)-L0 = -0.0000026226043701
t = 12.4000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000026226043701
ROOT RETURN:	t = 12.4523 g[0] =   1, y[0] = 0.361065, y[1] = -0.22105
t = 12.4523, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000026226043701
t = 12.5000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000026822090149
t = 12.6000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000025033950806
t = 12.7000, H(p,q)-H0 = -0.0000027418136597, L(p,q)-L0 = -0.0000026226043701
t = 12.8000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000023841857910
t = 12.9000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000024437904358
t = 13.0000, H(p,q)-H0 = -0.0000026226043701, L(p,q)-L0 = -0.0000023841857910
t = 13.1000, H(p,q)-H0 = -0.0000023245811462, L(p,q)-L0 = -0.0000022649765015
t = 13.2000, H(p,q)-H0 = -0.0000026226043701, L(p,q)-L0 = -0.0000024437904358
t = 13.3000, H(p,q)-H0 = -0.0000030398368835, L(p,q)-L0 = -0.0000026822090149
t = 13.4000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000026822090149
t = 13.5000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000026226043701
ROOT RETURN:	t = 13.5971 g[0] =  -1, y[0] = -0.658693, y[1] = 0.798613
t = 13.5971, H(p,q)-H0 = -0.0000032186508179, L(p,q)-L0 = -0.0000026822090149
t = 13.6000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000025033950806
t = 13.7000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000023841857910
t = 13.8000, H(p,q)-H0 = -0.0000029206275940, L(p,q)-L0 = -0.0000023841857910
t = 13.9000, H(p,q)-H0 = -0.0000029206275940, L(p,q)-L0 = -0.0000022649765015
t = 14.0000, H(p,q)-H0 = -0.0000026822090149, L(p,q)-L0 = -0.0000020265579224
t = 14.1000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000022649765015
t = 14.2000, H(p,q)-H0 = -0.0000029206275940, L(p,q)-L0 = -0.0000022649765015
t = 14.3000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000022649765015
t = 14.4000, H(p,q)-H0 = -0.0000031590461731, L(p,q)-L0 = -0.0000023841857910
t = 14.5000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000023841857910
t = 14.6000, H(p,q)-H0 = -0.0000032186508179, L(p,q)-L0 = -0.0000025033950806
t = 14.7000, H(p,q)-H0 = -0.0000032186508179, L(p,q)-L0 = -0.0000023841857910
t = 14.8000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000022649765015
t = 14.9000, H(p,q)-H0 = -0.0000032186508179, L(p,q)-L0 = -0.0000023245811462
t = 15.0000, H(p,q)-H0 = -0.0000032782554626, L(p,q)-L0 = -0.0000023841857910
t = 15.1000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000020861625671
t = 15.2000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000019669532776
t = 15.3000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000019669532776
t = 15.4000, H(p,q)-H0 = -0.0000031590461731, L(p,q)-L0 = -0.0000022053718567
t = 15.5000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000019669532776
t = 15.6000, H(p,q)-H0 = -0.0000030398368835, L(p,q)-L0 = -0.0000018477439880
t = 15.7000, H(p,q)-H0 = -0.0000029206275940, L(p,q)-L0 = -0.0000017285346985
t = 15.8000, H(p,q)-H0 = -0.0000028610229492, L(p,q)-L0 = -0.0000016689300537
t = 15.9000, H(p,q)-H0 = -0.0000028610229492, L(p,q)-L0 = -0.0000016093254089
t = 16.0000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000017285346985
t = 16.1000, H(p,q)-H0 = -0.0000028610229492, L(p,q)-L0 = -0.0000016689300537
t = 16.2000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000018477439880
t = 16.3000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000019669532776
t = 16.4000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000020861625671
t = 16.5000, H(p,q)-H0 = -0.0000035762786865, L(p,q)-L0 = -0.0000026822090149
t = 16.6000, H(p,q)-H0 = -0.0000035762786865, L(p,q)-L0 = -0.0000026226043701
t = 16.7000, H(p,q)-H0 = -0.0000035762786865, L(p,q)-L0 = -0.0000023841857910
t = 16.8000, H(p,q)-H0 = -0.0000034570693970, L(p,q)-L0 = -0.0000023841857910
t = 16.9000, H(p,q)-H0 = -0.0000033378601074, L(p,q)-L0 = -0.0000022649765015
t = 17.0000, H(p,q)-H0 = -0.0000033378601074, L(p,q)-L0 = -0.0000023841857910
t = 17.1000, H(p,q)-H0 = -0.0000033378601074, L(p,q)-L0 = -0.0000023841857910
t = 17.2000, H(p,q)-H0 = -0.0000032782554626, L(p,q)-L0 = -0.0000022649765015
t = 17.3000, H(p,q)-H0 = -0.0000030994415283, L(p,q)-L0 = -0.0000020265579224
t = 17.4000, H(p,q)-H0 = -0.0000034570693970, L(p,q)-L0 = -0.0000022649765015
t = 17.5000, H(p,q)-H0 = -0.0000033378601074, L(p,q)-L0 = -0.0000023245811462
t = 17.6000, H(p,q)-H0 = -0.0000035166740417, L(p,q)-L0 = -0.0000024437904358
t = 17.7000, H(p,q)-H0 = -0.0000036954879761, L(p,q)-L0 = -0.0000026226043701
t = 17.8000, H(p,q)-H0 = -0.0000034570693970, L(p,q)-L0 = -0.0000023245811462
t = 17.9000, H(p,q)-H0 = -0.0000039339065552, L(p,q)-L0 = -0.0000026226043701
t = 18.0000, H(p,q)-H0 = -0.0000035762786865, L(p,q)-L0 = -0.0000024437904358
t = 18.1000, H(p,q)-H0 = -0.0000029802322388, L(p,q)-L0 = -0.0000021457672119
t = 18.2000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000016093254089
t = 18.3000, H(p,q)-H0 = -0.0000025629997253, L(p,q)-L0 = -0.0000017881393433
t = 18.4000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000017285346985
t = 18.5000, H(p,q)-H0 = -0.0000020265579224, L(p,q)-L0 = -0.0000014901161194
t = 18.6000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000015497207642
t = 18.7000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000015497207642
ROOT RETURN:	t = 18.7356 g[0] =   1, y[0] = 0.361068, y[1] = -0.221045
t = 18.7356, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000014901161194
t = 18.8000, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000015497207642
t = 18.9000, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000017285346985
t = 19.0000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000015497207642
t = 19.1000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000014305114746
t = 19.2000, H(p,q)-H0 = -0.0000017881393433, L(p,q)-L0 = -0.0000015497207642
t = 19.3000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000014901161194
t = 19.4000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000014901161194
t = 19.5000, H(p,q)-H0 = -0.0000020265579224, L(p,q)-L0 = -0.0000016689300537
t = 19.6000, H(p,q)-H0 = -0.0000012516975403, L(p,q)-L0 = -0.0000011324882507
t = 19.7000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000014901161194
t = 19.8000, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000020265579224
ROOT RETURN:	t = 19.8804 g[0] =  -1, y[0] = -0.658733, y[1] = 0.798614
t = 19.8804, H(p,q)-H0 = -0.0000026822090149, L(p,q)-L0 = -0.0000023245811462
t = 19.9000, H(p,q)-H0 = -0.0000026822090149, L(p,q)-L0 = -0.0000023841857910
t = 20.0000, H(p,q)-H0 = -0.0000026226043701, L(p,q)-L0 = -0.0000023841857910
t = 20.1000, H(p,q)-H0 = -0.0000024437904358, L(p,q)-L0 = -0.0000021457672119
t = 20.2000, H(p,q)-H0 = -0.0000020861625671, L(p,q)-L0 = -0.0000017881393433
t = 20.3000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000016689300537
t = 20.4000, H(p,q)-H0 = -0.0000019669532776, L(p,q)-L0 = -0.0000014901161194
t = 20.5000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000013113021851
t = 20.6000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000011920928955
t = 20.7000, H(p,q)-H0 = -0.0000014901161194, L(p,q)-L0 = -0.0000010728836060
t = 20.8000, H(p,q)-H0 = -0.0000014305114746, L(p,q)-L0 = -0.0000009536743164
t = 20.9000, H(p,q)-H0 = -0.0000014305114746, L(p,q)-L0 = -0.0000009536743164
t = 21.0000, H(p,q)-H0 = -0.0000014901161194, L(p,q)-L0 = -0.0000010132789612
t = 21.1000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000009536743164
t = 21.2000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000008940696716
t = 21.3000, H(p,q)-H0 = -0.0000014901161194, L(p,q)-L0 = -0.0000007748603821
t = 21.4000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000008940696716
t = 21.5000, H(p,q)-H0 = -0.0000014901161194, L(p,q)-L0 = -0.0000007152557373
t = 21.6000, H(p,q)-H0 = -0.0000014305114746, L(p,q)-L0 = -0.0000005960464478
t = 21.7000, H(p,q)-H0 = -0.0000016093254089, L(p,q)-L0 = -0.0000008344650269
t = 21.8000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000008344650269
t = 21.9000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000008940696716
t = 22.0000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000007748603821
t = 22.1000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000007152557373
t = 22.2000, H(p,q)-H0 = -0.0000014901161194, L(p,q)-L0 = -0.0000005364418030
t = 22.3000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000008344650269
t = 22.4000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000005364418030
t = 22.5000, H(p,q)-H0 = -0.0000016093254089, L(p,q)-L0 = -0.0000006556510925
t = 22.6000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000007152557373
t = 22.7001, H(p,q)-H0 = -0.0000014901161194, L(p,q)-L0 = -0.0000004768371582
t = 22.8001, H(p,q)-H0 = -0.0000013709068298, L(p,q)-L0 = -0.0000002384185791
t = 22.9001, H(p,q)-H0 = -0.0000011920928955, L(p,q)-L0 = -0.0000001788139343
t = 23.0001, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = 0.0000000000000000
t = 23.1001, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = 0.0000001788139343
t = 23.2001, H(p,q)-H0 = -0.0000011324882507, L(p,q)-L0 = -0.0000001192092896
t = 23.3001, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000002384185791
t = 23.4001, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000002980232239
t = 23.5001, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = -0.0000002384185791
t = 23.6001, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000002384185791
t = 23.7001, H(p,q)-H0 = -0.0000008940696716, L(p,q)-L0 = -0.0000000596046448
t = 23.8001, H(p,q)-H0 = -0.0000008940696716, L(p,q)-L0 = -0.0000001192092896
t = 23.9001, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = 0.0000001192092896
t = 24.0001, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = 0.0000000000000000
t = 24.1001, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000001788139343
t = 24.2001, H(p,q)-H0 = -0.0000013113021851, L(p,q)-L0 = -0.0000004768371582
t = 24.3001, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000004172325134
t = 24.4001, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000002384185791
t = 24.5001, H(p,q)-H0 = -0.0000006556510925, L(p,q)-L0 = 0.0000000000000000
t = 24.6001, H(p,q)-H0 = -0.0000006556510925, L(p,q)-L0 = 0.0000000000000000
t = 24.7001, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = 0.0000000596046448
t = 24.8001, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000000596046448
t = 24.9001, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = 0.0000000596046448
t = 25.0001, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 25.0188 g[0] =   1, y[0] = 0.361066, y[1] = -0.221057
t = 25.0188, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = 0.0000000000000000
t = 25.1001, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = 0.0000000596046448
t = 25.2001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000002384185791
t = 25.3001, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = 0.0000000000000000
t = 25.4001, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = 0.0000001192092896
t = 25.5001, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = 0.0000001192092896
t = 25.6001, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = 0.0000001788139343
t = 25.7001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000003576278687
t = 25.8001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000004768371582
t = 25.9001, H(p,q)-H0 = 0.0000005364418030, L(p,q)-L0 = 0.0000008940696716
