
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 1
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000002384185791, L(p,q) = 0.7999999523162842
t = 12.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 12.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 12.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 12.4000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 12.4522 g[0] =   1, y[0] = 0.361068, y[1] = -0.22105
t = 12.4522, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000000596046448
t = 12.5000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 12.6000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 12.7000, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 12.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 12.9000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 13.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 13.1000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 13.2000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 13.3000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 13.4000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 13.5000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 13.5970 g[0] =  -1, y[0] = -0.6587, y[1] = 0.79862
t = 13.5970, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000001788139343
t = 13.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 13.7000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 13.8000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 13.9000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 14.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 14.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 14.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 14.3000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 14.4000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 14.5000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 14.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 14.7000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 14.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 14.9000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 15.0000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 15.1000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 15.2000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 15.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 15.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 15.5000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 15.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 15.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 15.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 15.9000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 16.0000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 16.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 16.2000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 16.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 16.4000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 16.5000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 16.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 16.7000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 16.8000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 16.9000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 17.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 17.1000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 17.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 17.3000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 17.4000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 17.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 17.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 17.7000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 17.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 17.9000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 18.0000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 18.1000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 18.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 18.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 18.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 18.5000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 18.6000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 18.7000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 18.7354 g[0] =   1, y[0] = 0.361069, y[1] = -0.221047
t = 18.7354, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = -0.0000001192092896
t = 18.8000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 18.9000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 19.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 19.1000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 19.2000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 19.3000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000000596046448
t = 19.4000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 19.5000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 19.6000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 19.7000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 19.8000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 19.8802 g[0] =  -1, y[0] = -0.658699, y[1] = 0.79862
t = 19.8802, H(p,q)-H0 = 0.0000002980232239, L(p,q)-L0 = 0.0000001788139343
t = 19.9000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 20.0000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 20.1000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 20.2000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 20.3000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 20.4000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000000596046448
t = 20.5000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 20.6000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 20.7000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 20.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 20.9000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 21.0000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 21.1000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 21.2000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 21.3000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 21.4000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 21.5000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 21.6000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 21.7000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 21.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 21.9000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 22.0000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 22.1000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 22.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 22.3000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 22.4000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 22.5000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 22.6000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 22.7001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 22.8001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 22.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 23.0001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 23.1001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 23.2001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 23.3001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 23.4001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 23.5001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 23.6001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 23.7001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 23.8001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 23.9001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 24.0001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 24.1001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 24.2001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 24.3001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 24.4001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000000596046448
t = 24.5001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 24.6001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 24.7001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 24.8001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 24.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 25.0001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 25.0186 g[0] =   1, y[0] = 0.361066, y[1] = -0.221054
t = 25.0186, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = 0.0000001192092896
t = 25.1001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 25.2001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 25.3001, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 25.4001, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 25.5001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 25.6001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 25.7001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 25.8001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000000596046448
t = 25.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
